"s_form","novel_id","background_context","vowel_carrier","full_carrier","s_carrier","s_punct","s_wav_index","s_sentence","pl_form","pl_carrier","pl_punct","pl_wav_index","pl_sentence","novelty","voicing","simple_pl_stim","simple_s_stim","animacyStatus","Trial","target","Practice","test_index","TargetSide","trial_index","NovelColor","order","expt_index","TargetLoc","DistractorLoc","AudioTarget","TargetImage","DistractorImage"
"book","!","house"," in the house","Can you find the  in the house","Can you find the ","?",65,"65. book... Can you find the book in the house?","books","Can you find the ","?",69,"69. books... Can you find the books in the house?","familiar","voiced","Can you find the  books?","Can you find the  book?","inanimate","p1","s","y",NA,NA,NA,NA,1,1,"(640,512)","(0,0)","65.wav","1_book_singular_left.png","1_book_plural_left.png"
"chair","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","!",67,"67. chair... Can you find the chair on the hill!","chairs","Can you find the ","!",71,"71. chairs... Can you find the chairs on the hill!","familiar","voiced","Can you find the  chairs!","Can you find the  chair!","inanimate","p2","pl","y",NA,NA,NA,NA,1,2,"(640,512)","(0,0)","71.wav","1_chair_plural_left.png","1_chair_singular_left.png"
"coat","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",66,"66. coat... Look at the coat in the tree!","coats","Look at the ","!",70,"70. coats... Look at the coats in the tree!","familiar","voiced","Look at the  coats!","Look at the  coat!","inanimate","p3","s","y",NA,NA,NA,NA,1,3,"(640,512)","(0,0)","66.wav","1_coat_singular_left.png","1_coat_plural_left.png"
"dog","!","couch"," on the couch","Look at the  on the couch","Look at the ","?",68,"68. dog... Look at the dog on the couch?","dogs","Look at the ","?",72,"72. dogs... Look at the dogs on the couch?","familiar","voiced","Look at the  dogs?","Look at the  dog?","animate","p4","pl","y",NA,NA,NA,NA,1,4,"(640,512)","(0,0)","72.wav","1_dog_plural_left.png","1_dog_singular_left.png"
"gip","2013-600","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",5,"5. gip... Can you find the gip on the hill?","gips","Can you find the ","?",13,"13. gips... Can you find the gips on the hill?","novel","voiceless","Can you find the  gips?","Can you find the  gip?","animate","1","pl","n",27,"l",30,"blue",1,5,"(320,512)","(960,512)","13.wav","1_gip_plural_right.png","1_gip_singular_left.png"
"egg","!","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",56,"56. egg... Can you find the egg on the couch?","eggs","Can you find the ","?",64,"64. eggs... Can you find the eggs on the couch?","familiar","voiced","Can you find the  eggs?","Can you find the  egg?","inanimate","2","s","n",5,"r",3,"!",1,6,"(960,512)","(320,512)","56.wav","1_egg_singular_left.png","1_egg_plural_right.png"
"plate","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",37,"37. plate... Can you find the plate on the hill?","plates","Can you find the ","?",45,"45. plates... Can you find the plates on the hill?","familiar","voiceless","Can you find the  plates?","Can you find the  plate?","inanimate","3","pl","n",15,"l",24,"!",1,7,"(320,512)","(960,512)","45.wav","1_plate_plural_right.png","1_plate_singular_left.png"
"deg","2048-600","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",20,"20. deg... Can you find the deg in the tree?","degs","Can you find the ","?",28,"28. degs... Can you find the degs in the tree?","novel","voiced","Can you find the  degs?","Can you find the  deg?","animate","4","s","n",17,"l",9,"red",1,8,"(320,512)","(960,512)","20.wav","1_deg_singular_right.png","1_deg_plural_left.png"
"teb","2061-600","couch"," on the couch","Look at the  on the couch","Look at the ","!",23,"23. teb... Look at the teb on the couch!","tebs","Look at the ","!",31,"31. tebs... Look at the tebs on the couch!","novel","voiced","Look at the  tebs!","Look at the  teb!","inanimate","5","pl","n",23,"r",28,"red",1,9,"(960,512)","(320,512)","31.wav","1_teb_plural_left.png","1_teb_singular_right.png"
"plate","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",37,"37. plate... Can you find the plate on the hill?","plates","Can you find the ","?",45,"45. plates... Can you find the plates on the hill?","familiar","voiceless","Can you find the  plates?","Can you find the  plate?","inanimate","6","s","n",15,"l",8,"!",1,10,"(320,512)","(960,512)","37.wav","1_plate_singular_right.png","1_plate_plural_left.png"
"ant","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",35,"35. ant... Look at the ant in the tree!","ants","Look at the ","!",43,"43. ants... Look at the ants in the tree!","familiar","voiceless","Look at the  ants!","Look at the  ant!","animate","7","pl","n",9,"r",21,"!",1,11,"(960,512)","(320,512)","43.wav","1_ant_plural_left.png","1_ant_singular_right.png"
"kib","2039-600","house"," in the house","Can you find the  in the house","Can you find the ","?",17,"17. kib... Can you find the kib in the house?","kibs","Can you find the ","?",25,"25. kibs... Can you find the kibs in the house?","novel","voiced","Can you find the  kibs?","Can you find the  kib?","animate","8","pl","n",19,"l",26,"red",1,12,"(320,512)","(960,512)","25.wav","1_kib_plural_right.png","1_kib_singular_left.png"
"nop","2034-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",8,"8. nop... Can you find the nop on the couch?","nops","Can you find the ","?",16,"16. nops... Can you find the nops on the couch?","novel","voiceless","Can you find the  nops?","Can you find the  nop?","inanimate","9","s","n",31,"r",16,"red",1,13,"(960,512)","(320,512)"," 8.wav","1_nop_singular_left.png","1_nop_plural_right.png"
"frog","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",51,"51. frog... Look at the frog in the tree!","frogs","Look at the ","!",59,"59. frogs... Look at the frogs in the tree!","familiar","voiced","Look at the  frogs!","Look at the  frog!","animate","10","s","n",3,"l",2,"!",1,14,"(320,512)","(960,512)","51.wav","1_frog_singular_right.png","1_frog_plural_left.png"
"pib","2064-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",24,"24. pib... Can you find the pib on the couch?","pibs","Can you find the ","?",32,"32. pibs... Can you find the pibs on the couch?","novel","voiced","Can you find the  pibs?","Can you find the  pib?","inanimate","11","pl","n",21,"r",27,"red",1,15,"(960,512)","(320,512)","32.wav","1_pib_plural_left.png","1_pib_singular_right.png"
"boat","!","hill"," on the hill","Look at the  on the hill","Look at the ","!",38,"38. boat... Look at the boat on the hill!","boats","Look at the ","!",46,"46. boats... Look at the boats on the hill!","familiar","voiceless","Look at the  boats!","Look at the  boat!","inanimate","12","s","n",13,"r",7,"!",1,16,"(960,512)","(320,512)","38.wav","1_boat_singular_left.png","1_boat_plural_right.png"
"bug","!","house"," in the house","Look at the  in the house","Look at the ","!",50,"50. bug... Look at the bug in the house!","bugs","Look at the ","!",58,"58. bugs... Look at the bugs in the house!","familiar","voiced","Look at the  bugs!","Look at the  bug!","animate","13","s","n",1,"l",1,"!",1,17,"(320,512)","(960,512)","50.wav","1_bug_singular_right.png","1_bug_plural_left.png"
"nop","2034-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",8,"8. nop... Can you find the nop on the couch?","nops","Can you find the ","?",16,"16. nops... Can you find the nops on the couch?","novel","voiceless","Can you find the  nops?","Can you find the  nop?","inanimate","14","pl","n",31,"l",32,"red",1,18,"(320,512)","(960,512)","16.wav","1_nop_plural_right.png","1_nop_singular_left.png"
"boat","!","hill"," on the hill","Look at the  on the hill","Look at the ","!",38,"38. boat... Look at the boat on the hill!","boats","Look at the ","!",46,"46. boats... Look at the boats on the hill!","familiar","voiceless","Look at the  boats!","Look at the  boat!","inanimate","15","pl","n",13,"r",23,"!",1,19,"(960,512)","(320,512)","46.wav","1_boat_plural_left.png","1_boat_singular_right.png"
"kib","2039-600","house"," in the house","Can you find the  in the house","Can you find the ","?",17,"17. kib... Can you find the kib in the house?","kibs","Can you find the ","?",25,"25. kibs... Can you find the kibs in the house?","novel","voiced","Can you find the  kibs?","Can you find the  kib?","animate","16","s","n",19,"r",10,"red",1,20,"(960,512)","(320,512)","17.wav","1_kib_singular_left.png","1_kib_plural_right.png"
"pib","2064-600","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",24,"24. pib... Can you find the pib on the couch?","pibs","Can you find the ","?",32,"32. pibs... Can you find the pibs on the couch?","novel","voiced","Can you find the  pibs?","Can you find the  pib?","inanimate","17","s","n",21,"l",11,"blue",1,21,"(320,512)","(960,512)","24.wav","1_pib_singular_right.png","1_pib_plural_left.png"
"duck","!","house"," in the house","Can you find the  in the house","Can you find the ","?",33,"33. duck... Can you find the duck in the house?","ducks","Can you find the ","?",41,"41. ducks... Can you find the ducks in the house?","familiar","voiceless","Can you find the  ducks?","Can you find the  duck?","animate","18","pl","n",11,"l",22,"!",1,22,"(320,512)","(960,512)","41.wav","1_duck_plural_right.png","1_duck_singular_left.png"
"ant","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",35,"35. ant... Look at the ant in the tree!","ants","Look at the ","!",43,"43. ants... Look at the ants in the tree!","familiar","voiceless","Look at the  ants!","Look at the  ant!","animate","19","s","n",9,"r",5,"!",1,23,"(960,512)","(320,512)","35.wav","1_ant_singular_left.png","1_ant_plural_right.png"
"teb","2061-600","couch"," on the couch","Look at the  on the couch","Look at the ","!",23,"23. teb... Look at the teb on the couch!","tebs","Look at the ","!",31,"31. tebs... Look at the tebs on the couch!","novel","voiced","Look at the  tebs!","Look at the  teb!","inanimate","20","s","n",23,"r",12,"red",1,24,"(960,512)","(320,512)","23.wav","1_teb_singular_left.png","1_teb_plural_right.png"
"bug","!","house"," in the house","Look at the  in the house","Look at the ","!",50,"50. bug... Look at the bug in the house!","bugs","Look at the ","!",58,"58. bugs... Look at the bugs in the house!","familiar","voiced","Look at the  bugs!","Look at the  bug!","animate","21","pl","n",1,"l",17,"!",1,25,"(320,512)","(960,512)","58.wav","1_bug_plural_right.png","1_bug_singular_left.png"
"dup","2028-600","hill"," on the hill","Look at the  on the hill","Look at the ","!",6,"6. dup... Look at the dup on the hill!","dups","Look at the ","!",14,"14. dups... Look at the dups on the hill!","novel","voiceless","Look at the  dups!","Look at the  dup!","animate","22","pl","n",25,"r",29,"blue",1,26,"(960,512)","(320,512)","14.wav","1_dup_plural_left.png","1_dup_singular_right.png"
"mip","2001-600","house"," in the house","Can you find the  in the house","Can you find the ","?",1,"1. mip... Can you find the mip in the house?","mips","Can you find the ","?",9,"9. mips... Can you find the mips in the house?","novel","voiceless","Can you find the  mips?","Can you find the  mip?","inanimate","23","s","n",29,"l",15,"blue",1,27,"(320,512)","(960,512)"," 1.wav","1_mip_singular_right.png","1_mip_plural_left.png"
"spoon","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",53,"53. spoon... Can you find the spoon on the hill?","spoons","Can you find the ","?",61,"61. spoons... Can you find the spoons on the hill?","familiar","voiced","Can you find the  spoons?","Can you find the  spoon?","inanimate","24","s","n",7,"r",4,"!",1,28,"(960,512)","(320,512)","53.wav","1_spoon_singular_left.png","1_spoon_plural_right.png"
"deg","2048-600","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",20,"20. deg... Can you find the deg in the tree?","degs","Can you find the ","?",28,"28. degs... Can you find the degs in the tree?","novel","voiced","Can you find the  degs?","Can you find the  deg?","animate","25","pl","n",17,"l",25,"blue",1,29,"(320,512)","(960,512)","28.wav","1_deg_plural_right.png","1_deg_singular_left.png"
"duck","!","house"," in the house","Can you find the  in the house","Can you find the ","?",33,"33. duck... Can you find the duck in the house?","ducks","Can you find the ","?",41,"41. ducks... Can you find the ducks in the house?","familiar","voiceless","Can you find the  ducks?","Can you find the  duck?","animate","26","s","n",11,"l",6,"!",1,30,"(320,512)","(960,512)","33.wav","1_duck_singular_right.png","1_duck_plural_left.png"
"spoon","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",53,"53. spoon... Can you find the spoon on the hill?","spoons","Can you find the ","?",61,"61. spoons... Can you find the spoons on the hill?","familiar","voiced","Can you find the  spoons?","Can you find the  spoon?","inanimate","27","pl","n",7,"r",20,"!",1,31,"(960,512)","(320,512)","61.wav","1_spoon_plural_left.png","1_spoon_singular_right.png"
"mip","2001-600","house"," in the house","Can you find the  in the house","Can you find the ","?",1,"1. mip... Can you find the mip in the house?","mips","Can you find the ","?",9,"9. mips... Can you find the mips in the house?","novel","voiceless","Can you find the  mips?","Can you find the  mip?","inanimate","28","pl","n",29,"r",31,"blue",1,32,"(960,512)","(320,512)"," 9.wav","1_mip_plural_left.png","1_mip_singular_right.png"
"dup","2028-600","hill"," on the hill","Look at the  on the hill","Look at the ","!",6,"6. dup... Look at the dup on the hill!","dups","Look at the ","!",14,"14. dups... Look at the dups on the hill!","novel","voiceless","Look at the  dups!","Look at the  dup!","animate","29","s","n",25,"l",13,"blue",1,33,"(320,512)","(960,512)"," 6.wav","1_dup_singular_right.png","1_dup_plural_left.png"
"egg","!","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",56,"56. egg... Can you find the egg on the couch?","eggs","Can you find the ","?",64,"64. eggs... Can you find the eggs on the couch?","familiar","voiced","Can you find the  eggs?","Can you find the  egg?","inanimate","30","pl","n",5,"l",19,"!",1,34,"(320,512)","(960,512)","64.wav","1_egg_plural_right.png","1_egg_singular_left.png"
"gip","2013-600","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",5,"5. gip... Can you find the gip on the hill?","gips","Can you find the ","?",13,"13. gips... Can you find the gips on the hill?","novel","voiceless","Can you find the  gips?","Can you find the  gip?","animate","31","s","n",27,"r",14,"blue",1,35,"(960,512)","(320,512)"," 5.wav","1_gip_singular_left.png","1_gip_plural_right.png"
"frog","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",51,"51. frog... Look at the frog in the tree!","frogs","Look at the ","!",59,"59. frogs... Look at the frogs in the tree!","familiar","voiced","Look at the  frogs!","Look at the  frog!","animate","32","pl","n",3,"r",18,"!",1,36,"(960,512)","(320,512)","59.wav","1_frog_plural_left.png","1_frog_singular_right.png"
"book","!","house"," in the house","Can you find the  in the house","Can you find the ","?",65,"65. book... Can you find the book in the house?","books","Can you find the ","?",69,"69. books... Can you find the books in the house?","familiar","voiced","Can you find the  books?","Can you find the  book?","inanimate","p1","s","y",NA,NA,NA,NA,2,1,"(640,512)","(0,0)","65.wav","2_book_singular_left.png","2_book_plural_left.png"
"chair","!","hill"," on the hill","Can you find the  on the hill","Can you find the ","!",67,"67. chair... Can you find the chair on the hill!","chairs","Can you find the ","!",71,"71. chairs... Can you find the chairs on the hill!","familiar","voiced","Can you find the  chairs!","Can you find the  chair!","inanimate","p2","pl","y",NA,NA,NA,NA,2,2,"(640,512)","(0,0)","71.wav","2_chair_plural_left.png","2_chair_singular_left.png"
"coat","!","tree"," in the tree","Look at the  in the tree","Look at the ","!",66,"66. coat... Look at the coat in the tree!","coats","Look at the ","!",70,"70. coats... Look at the coats in the tree!","familiar","voiced","Look at the  coats!","Look at the  coat!","inanimate","p3","s","y",NA,NA,NA,NA,2,3,"(640,512)","(0,0)","66.wav","2_coat_singular_left.png","2_coat_plural_left.png"
"dog","!","couch"," on the couch","Look at the  on the couch","Look at the ","?",68,"68. dog... Look at the dog on the couch?","dogs","Look at the ","?",72,"72. dogs... Look at the dogs on the couch?","familiar","voiced","Look at the  dogs?","Look at the  dog?","animate","p4","pl","y",NA,NA,NA,NA,2,4,"(640,512)","(0,0)","72.wav","2_dog_plural_left.png","2_dog_singular_left.png"
"rabbit","!","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",36,"36. rabbit... Can you find the rabbit in the tree?","rabbits","Can you find the ","?",44,"44. rabbits... Can you find the rabbits in the tree?","familiar","voiceless","Can you find the  rabbits?","Can you find the  rabbit?","animate","1","s","n",12,"r",6,"!",2,5,"(960,512)","(320,512)","36.wav","2_rabbit_singular_left.png","2_rabbit_plural_right.png"
"tig","2057-600","hill"," on the hill","Look at the  on the hill","Look at the ","!",22,"22. tig... Look at the tig on the hill!","tigs","Look at the ","!",30,"30. tigs... Look at the tigs on the hill!","novel","voiced","Look at the  tigs!","Look at the  tig!","inanimate","2","pl","n",24,"l",28,"blue",2,6,"(320,512)","(960,512)","30.wav","2_tig_plural_right.png","2_tig_singular_left.png"
"rabbit","!","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",36,"36. rabbit... Can you find the rabbit in the tree?","rabbits","Can you find the ","?",44,"44. rabbits... Can you find the rabbits in the tree?","familiar","voiceless","Can you find the  rabbits?","Can you find the  rabbit?","animate","3","pl","n",12,"l",22,"!",2,7,"(320,512)","(960,512)","44.wav","2_rabbit_plural_right.png","2_rabbit_singular_left.png"
"nug","2056-600","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",21,"21. nug... Can you find the nug on the hill?","nugs","Can you find the ","?",29,"29. nugs... Can you find the nugs on the hill?","novel","voiced","Can you find the  nugs?","Can you find the  nug?","animate","4","s","n",20,"r",10,"blue",2,8,"(960,512)","(320,512)","21.wav","2_nug_singular_left.png","2_nug_plural_right.png"
"cup","!","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",40,"40. cup... Can you find the cup on the couch?","cups","Can you find the ","?",48,"48. cups... Can you find the cups on the couch?","familiar","voiceless","Can you find the  cups?","Can you find the  cup?","inanimate","5","s","n",14,"l",7,"!",2,9,"(320,512)","(960,512)","40.wav","2_cup_singular_right.png","2_cup_plural_left.png"
"pog","2042-600","tree"," in the tree","Look at the  in the tree","Look at the ","!",19,"19. pog... Look at the pog in the tree!","pogs","Look at the ","!",27,"27. pogs... Look at the pogs in the tree!","novel","voiced","Look at the  pogs!","Look at the  pog!","inanimate","6","pl","n",22,"l",27,"blue",2,10,"(320,512)","(960,512)","27.wav","2_pog_plural_right.png","2_pog_singular_left.png"
"fip","2030-600","couch"," on the couch","Look at the  on the couch","Look at the ","!",7,"7. fip... Look at the fip on the couch!","fips","Look at the ","!",15,"15. fips... Look at the fips on the couch!","novel","voiceless","Look at the  fips!","Look at the  fip!","animate","7","s","n",26,"r",13,"red",2,11,"(960,512)","(320,512)"," 7.wav","2_fip_singular_left.png","2_fip_plural_right.png"
"cow","!","house"," in the house","Can you find the  in the house","Can you find the ","?",49,"49. cow... Can you find the cow in the house?","cows","Can you find the ","?",57,"57. cows... Can you find the cows in the house?","familiar","voiced","Can you find the  cows?","Can you find the  cow?","animate","8","s","n",2,"r",1,"!",2,12,"(960,512)","(320,512)","49.wav","2_cow_singular_left.png","2_cow_plural_right.png"
"nep","2012-600","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",4,"4. nep... Can you find the nep in the tree?","neps","Can you find the ","?",12,"12. neps... Can you find the neps in the tree?","novel","voiceless","Can you find the  neps?","Can you find the  nep?","inanimate","9","pl","n",30,"l",31,"red",2,13,"(320,512)","(960,512)","12.wav","2_nep_plural_right.png","2_nep_singular_left.png"
"star","!","couch"," on the couch","Look at the  on the couch","Look at the ","!",55,"55. star... Look at the star on the couch!","stars","Look at the ","!",63,"63. stars... Look at the stars on the couch!","familiar","voiced","Look at the  stars!","Look at the  star!","inanimate","10","s","n",8,"l",4,"!",2,14,"(320,512)","(960,512)","55.wav","2_star_singular_right.png","2_star_plural_left.png"
"cow","!","house"," in the house","Can you find the  in the house","Can you find the ","?",49,"49. cow... Can you find the cow in the house?","cows","Can you find the ","?",57,"57. cows... Can you find the cows in the house?","familiar","voiced","Can you find the  cows?","Can you find the  cow?","animate","11","pl","n",2,"r",17,"!",2,15,"(960,512)","(320,512)","57.wav","2_cow_plural_left.png","2_cow_singular_right.png"
"fip","2030-600","couch"," on the couch","Look at the  on the couch","Look at the ","!",7,"7. fip... Look at the fip on the couch!","fips","Look at the ","!",15,"15. fips... Look at the fips on the couch!","novel","voiceless","Look at the  fips!","Look at the  fip!","animate","12","pl","n",26,"l",29,"red",2,16,"(320,512)","(960,512)","15.wav","2_fip_plural_right.png","2_fip_singular_left.png"
"pog","2042-600","tree"," in the tree","Look at the  in the tree","Look at the ","!",19,"19. pog... Look at the pog in the tree!","pogs","Look at the ","!",27,"27. pogs... Look at the pogs in the tree!","novel","voiced","Look at the  pogs!","Look at the  pog!","inanimate","13","s","n",22,"l",11,"blue",2,17,"(320,512)","(960,512)","19.wav","2_pog_singular_right.png","2_pog_plural_left.png"
"star","!","couch"," on the couch","Look at the  on the couch","Look at the ","!",55,"55. star... Look at the star on the couch!","stars","Look at the ","!",63,"63. stars... Look at the stars on the couch!","familiar","voiced","Look at the  stars!","Look at the  star!","inanimate","14","pl","n",8,"r",20,"!",2,18,"(960,512)","(320,512)","63.wav","2_star_plural_left.png","2_star_singular_right.png"
"gop","2010-600","tree"," in the tree","Look at the  in the tree","Look at the ","!",3,"3. gop... Look at the gop in the tree!","gops","Look at the ","!",11,"11. gops... Look at the gops in the tree!","novel","voiceless","Look at the  gops!","Look at the  gop!","animate","15","s","n",28,"l",14,"red",2,19,"(320,512)","(960,512)"," 3.wav","2_gop_singular_right.png","2_gop_plural_left.png"
"nug","2056-600","hill"," on the hill","Can you find the  on the hill","Can you find the ","?",21,"21. nug... Can you find the nug on the hill?","nugs","Can you find the ","?",29,"29. nugs... Can you find the nugs on the hill?","novel","voiced","Can you find the  nugs?","Can you find the  nug?","animate","16","pl","n",20,"r",26,"blue",2,20,"(960,512)","(320,512)","29.wav","2_nug_plural_left.png","2_nug_singular_right.png"
"cup","!","couch"," on the couch","Can you find the  on the couch","Can you find the ","?",40,"40. cup... Can you find the cup on the couch?","cups","Can you find the ","?",48,"48. cups... Can you find the cups on the couch?","familiar","voiceless","Can you find the  cups?","Can you find the  cup?","inanimate","17","pl","n",14,"r",23,"!",2,21,"(960,512)","(320,512)","48.wav","2_cup_plural_left.png","2_cup_singular_right.png"
"nep","2012-600","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",4,"4. nep... Can you find the nep in the tree?","neps","Can you find the ","?",12,"12. neps... Can you find the neps in the tree?","novel","voiceless","Can you find the  neps?","Can you find the  nep?","inanimate","18","s","n",30,"l",15,"blue",2,22,"(320,512)","(960,512)"," 4.wav","2_nep_singular_right.png","2_nep_plural_left.png"
"gub","2040-600","house"," in the house","Look at the  in the house","Look at the ","!",18,"18. gub... Look at the gub in the house!","gubs","Look at the ","!",26,"26. gubs... Look at the gubs in the house!","novel","voiced","Look at the  gubs!","Look at the  gub!","animate","19","pl","n",18,"l",25,"red",2,23,"(320,512)","(960,512)","26.wav","2_gub_plural_right.png","2_gub_singular_left.png"
"truck","!","couch"," on the couch","Look at the  on the couch","Look at the ","!",39,"39. truck... Look at the truck on the couch!","trucks","Look at the ","!",47,"47. trucks... Look at the trucks on the couch!","familiar","voiceless","Look at the  trucks!","Look at the  truck!","inanimate","20","s","n",16,"r",8,"!",2,24,"(960,512)","(320,512)","39.wav","2_truck_singular_left.png","2_truck_plural_right.png"
"pig","!","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",52,"52. pig... Can you find the pig in the tree?","pigs","Can you find the ","?",60,"60. pigs... Can you find the pigs in the tree?","familiar","voiced","Can you find the  pigs?","Can you find the  pig?","animate","21","pl","n",4,"r",18,"!",2,25,"(960,512)","(320,512)","60.wav","2_pig_plural_left.png","2_pig_singular_right.png"
"gub","2040-600","house"," in the house","Look at the  in the house","Look at the ","!",18,"18. gub... Look at the gub in the house!","gubs","Look at the ","!",26,"26. gubs... Look at the gubs in the house!","novel","voiced","Look at the  gubs!","Look at the  gub!","animate","22","s","n",18,"l",9,"red",2,26,"(320,512)","(960,512)","18.wav","2_gub_singular_right.png","2_gub_plural_left.png"
"truck","!","couch"," on the couch","Look at the  on the couch","Look at the ","!",39,"39. truck... Look at the truck on the couch!","trucks","Look at the ","!",47,"47. trucks... Look at the trucks on the couch!","familiar","voiceless","Look at the  trucks!","Look at the  truck!","inanimate","23","pl","n",16,"r",24,"!",2,27,"(960,512)","(320,512)","47.wav","2_truck_plural_left.png","2_truck_singular_right.png"
"tig","2057-600","hill"," on the hill","Look at the  on the hill","Look at the ","!",22,"22. tig... Look at the tig on the hill!","tigs","Look at the ","!",30,"30. tigs... Look at the tigs on the hill!","novel","voiced","Look at the  tigs!","Look at the  tig!","inanimate","24","s","n",24,"r",12,"blue",2,28,"(960,512)","(320,512)","22.wav","2_tig_singular_left.png","2_tig_plural_right.png"
"cat","!","house"," in the house","Look at the  in the house","Look at the ","!",34,"34. cat... Look at the cat in the house!","cats","Look at the ","!",42,"42. cats... Look at the cats in the house!","familiar","voiceless","Look at the  cats!","Look at the  cat!","animate","25","s","n",10,"l",5,"!",2,29,"(320,512)","(960,512)","34.wav","2_cat_singular_right.png","2_cat_plural_left.png"
"gop","2010-600","tree"," in the tree","Look at the  in the tree","Look at the ","!",3,"3. gop... Look at the gop in the tree!","gops","Look at the ","!",11,"11. gops... Look at the gops in the tree!","novel","voiceless","Look at the  gops!","Look at the  gop!","animate","26","pl","n",28,"l",30,"red",2,30,"(320,512)","(960,512)","11.wav","2_gop_plural_right.png","2_gop_singular_left.png"
"fork","!","hill"," on the hill","Look at the  on the hill","Look at the ","!",54,"54. fork... Look at the fork on the hill!","forks","Look at the ","!",62,"62. forks... Look at the forks on the hill!","familiar","voiced","Look at the  forks!","Look at the  fork!","inanimate","27","pl","n",6,"r",19,"!",2,31,"(960,512)","(320,512)","62.wav","2_fork_plural_left.png","2_fork_singular_right.png"
"tep","2005-600","house"," in the house","Look at the  in the house","Look at the ","!",2,"2. tep... Look at the tep in the house!","teps","Look at the ","!",10,"10. teps... Look at the teps in the house!","novel","voiceless","Look at the  teps!","Look at the  tep!","inanimate","28","s","n",32,"r",16,"blue",2,32,"(960,512)","(320,512)"," 2.wav","2_tep_singular_left.png","2_tep_plural_right.png"
"pig","!","tree"," in the tree","Can you find the  in the tree","Can you find the ","?",52,"52. pig... Can you find the pig in the tree?","pigs","Can you find the ","?",60,"60. pigs... Can you find the pigs in the tree?","familiar","voiced","Can you find the  pigs?","Can you find the  pig?","animate","29","s","n",4,"l",2,"!",2,33,"(320,512)","(960,512)","52.wav","2_pig_singular_right.png","2_pig_plural_left.png"
"tep","2005-600","house"," in the house","Look at the  in the house","Look at the ","!",2,"2. tep... Look at the tep in the house!","teps","Look at the ","!",10,"10. teps... Look at the teps in the house!","novel","voiceless","Look at the  teps!","Look at the  tep!","inanimate","30","pl","n",32,"r",32,"red",2,34,"(960,512)","(320,512)","10.wav","2_tep_plural_left.png","2_tep_singular_right.png"
"fork","!","hill"," on the hill","Look at the  on the hill","Look at the ","!",54,"54. fork... Look at the fork on the hill!","forks","Look at the ","!",62,"62. forks... Look at the forks on the hill!","familiar","voiced","Look at the  forks!","Look at the  fork!","inanimate","31","s","n",6,"r",3,"!",2,35,"(960,512)","(320,512)","54.wav","2_fork_singular_left.png","2_fork_plural_right.png"
"cat","!","house"," in the house","Look at the  in the house","Look at the ","!",34,"34. cat... Look at the cat in the house!","cats","Look at the ","!",42,"42. cats... Look at the cats in the house!","familiar","voiceless","Look at the  cats!","Look at the  cat!","animate","32","pl","n",10,"l",21,"!",2,36,"(320,512)","(960,512)","42.wav","2_cat_plural_right.png","2_cat_singular_left.png"
